name,genre,summary,daily_time
To Kill a Mockingbird,"Historical Fiction, Drama","racism,court,childhood,justice,alabama",50
1984,"Science Fiction, Dystopian","totalitarianism,surveillance,freedom,propaganda,rebellion",40
Pride and Prejudice,"Romance, Literary Fiction","marriage,class,pride,prejudice,english countryside",35
The Great Gatsby,"Literary Fiction, Drama","american dream,wealth,tragic love,1920s,Long Island",30
Moby-Dick,"Adventure, Literary Fiction","whaling,obsession,sea,captain,Ahab",60
War and Peace,"Historical Fiction, Literary Fiction","napoleonic wars,russia,aristocracy,family,battle",90
The Catcher in the Rye,"Literary Fiction, Young Adult (YA)","alienation,identity,teenage,nyc,rebellion",30
Brave New World,"Science Fiction, Dystopian","genetic engineering,control,consumerism,utopia,castes",40
Jane Eyre,"Romance, Literary Fiction","gothic,mystery,orphan,love,independence",45
The Hobbit,"Fantasy, Adventure","dragon,quest,hobbit,ring,travel",40
Fahrenheit 451,"Science Fiction, Dystopian","censorship,books,rebellion,firemen,knowledge",35
The Lord of the Rings,"Fantasy, Adventure","ring,quest,middle earth,friendship,battle",120
Crime and Punishment,"Literary Fiction, Philosophy","guilt,morality,poverty,crime,redemption",70
The Odyssey,"Epic, Adventure","journey,hero,sea,monsters,greek myth",80
Anna Karenina,"Romance, Literary Fiction","adultery,aristocracy,russia,tragic love,family",75
The Brothers Karamazov,"Philosophy, Literary Fiction","faith,doubt,patricide,morality,brothers",85
One Hundred Years of Solitude,"Magical Realism, Literary Fiction","family,solitude,latin america,myth,history",65
The Divine Comedy,"Epic, Poetry","afterlife,journey,hell,purgatory,paradise",100
Wuthering Heights,"Romance, Gothic","revenge,heathcliff,cathy,moor,tragic",50
The Iliad,"Epic, War","troy,achilles,hero,wrath,battle",80
Great Expectations,"Literary Fiction","orphan,ambition,class,london,mystery",55
The Picture of Dorian Gray,"Philosophy, Gothic","vanity,youth,corruption,portrait,decadence",45
Les Misérables,"Historical Fiction, Drama","justice,redemption,paris,revolution,poverty",90
Dracula,"Horror, Gothic","vampire,transylvania,blood,fear,night",50
The Count of Monte Cristo,"Adventure, Historical Fiction","betrayal,revenge,prison,treasure,justice",85
Frankenstein,"Horror, Science Fiction","creation,monster,science,responsibility,alienation",40
Alice's Adventures in Wonderland,"Children’s Fiction, Fantasy","wonderland,rabbit,absurd,dream,adventure",25
The Grapes of Wrath,"Historical Fiction, Drama","great depression,family,migration,okies,poverty",60
Lolita,"Literary Fiction, Controversial","obsession,love,ethics,travel,america",50
Catch-22,"Satire, War","bureaucracy,war,absurdity,airmen,catch-22",65
Slaughterhouse-Five,"Science Fiction, War","time travel,war,trauma,nonlinear,satire",45
The Sound and the Fury,"Literary Fiction","family,stream consciousness,loss,south",70
Invisible Man,"Literary Fiction","identity,race,underground,america,alienation",60
Beloved,"Historical Fiction, Drama","slavery,ghost,memory,family,trauma",55
